package name,package version(s),MSC ID's
@nativescript-community/ui-pulltorefresh,2.5.7,MSC-2025-8303
@nexe/config-manager,0.1.1,MSC-2025-8477
@nexe/eslint-config,0.1.1,MSC-2025-8487
@nexe/logger,0.1.3,MSC-2025-8418
@nstudio/angular,20.0.4,MSC-2025-8375
@nstudio/angular,20.0.5,MSC-2025-8442
@nstudio/angular,20.0.6,MSC-2025-8387
@nstudio/focus,20.0.4,MSC-2025-8440
@nstudio/focus,20.0.5,MSC-2025-8486
@nstudio/focus,20.0.6,MSC-2025-8439
@nstudio/nativescript-checkbox,2.0.6,MSC-2025-8275
@nstudio/nativescript-checkbox,2.0.7,MSC-2025-8284
@nstudio/nativescript-checkbox,2.0.8,MSC-2025-8302
@nstudio/nativescript-checkbox,2.0.9,MSC-2025-8293
@nstudio/nativescript-loading-indicator,5.0.1,MSC-2025-8484
@nstudio/nativescript-loading-indicator,5.0.2,MSC-2025-8476
@nstudio/nativescript-loading-indicator,5.0.3,MSC-2025-8346
@nstudio/nativescript-loading-indicator,5.0.4,MSC-2025-8416
@nstudio/ui-collectionview,5.1.11,MSC-2025-8272
@nstudio/ui-collectionview,5.1.12,MSC-2025-8280
@nstudio/ui-collectionview,5.1.13,MSC-2025-8276
@nstudio/ui-collectionview,5.1.14,MSC-2025-8274
@nstudio/web,20.0.4,MSC-2025-8424
@nstudio/web-angular,20.0.4,MSC-2025-8382
@nstudio/xplat,20.0.5,MSC-2025-8454
@nstudio/xplat,20.0.6,MSC-2025-8356
@nstudio/xplat,20.0.7,MSC-2025-8426
@nstudio/xplat-utils,20.0.5,MSC-2025-8344
@nstudio/xplat-utils,20.0.6,MSC-2025-8371
@nstudio/xplat-utils,20.0.7,MSC-2025-8370
@operato/board,9.0.36,MSC-2025-8480
@operato/board,9.0.37,MSC-2025-8345
@operato/board,9.0.38,MSC-2025-8419
@operato/board,9.0.39,MSC-2025-8399
@operato/board,9.0.40,MSC-2025-8443
@operato/board,9.0.41,MSC-2025-8377
@operato/board,9.0.42,MSC-2025-8398
@operato/board,9.0.43,MSC-2025-8348
@operato/board,9.0.44,MSC-2025-8395
@operato/board,9.0.45,MSC-2025-8412
@operato/board,9.0.46,MSC-2025-8359
@operato/data-grist,9.0.29,MSC-2025-8407
@operato/data-grist,9.0.35,MSC-2025-8367
@operato/data-grist,9.0.36,MSC-2025-8406
@operato/data-grist,9.0.37,MSC-2025-8413
@operato/graphql,9.0.22,MSC-2025-8434
@operato/graphql,9.0.35,MSC-2025-8429
@operato/graphql,9.0.36,MSC-2025-8465
@operato/graphql,9.0.37,MSC-2025-8436
@operato/graphql,9.0.38,MSC-2025-8481
@operato/graphql,9.0.39,MSC-2025-8433
@operato/graphql,9.0.40,MSC-2025-8379
@operato/graphql,9.0.41,MSC-2025-8349
@operato/graphql,9.0.42,MSC-2025-8441
@operato/graphql,9.0.43,MSC-2025-8353
@operato/graphql,9.0.44,MSC-2025-8491
@operato/graphql,9.0.45,MSC-2025-8482
@operato/graphql,9.0.46,MSC-2025-8470
@operato/headroom,9.0.2,MSC-2025-8415
@operato/headroom,9.0.35,MSC-2025-8389
@operato/headroom,9.0.36,MSC-2025-8333
@operato/headroom,9.0.37,MSC-2025-8334
@operato/help,9.0.35,MSC-2025-8347
@operato/help,9.0.36,MSC-2025-8438
@operato/help,9.0.37,MSC-2025-8350
@operato/help,9.0.38,MSC-2025-8475
@operato/help,9.0.39,MSC-2025-8410
@operato/help,9.0.40,MSC-2025-8449
@operato/help,9.0.41,MSC-2025-8458
@operato/help,9.0.42,MSC-2025-8378
@operato/help,9.0.43,MSC-2025-8405
@operato/help,9.0.44,MSC-2025-8362
@operato/help,9.0.45,MSC-2025-8445
@operato/help,9.0.46,MSC-2025-8417
@operato/i18n,9.0.35,MSC-2025-8459
@operato/i18n,9.0.36,MSC-2025-8409
@operato/i18n,9.0.37,MSC-2025-8366
@operato/input,9.0.27,MSC-2025-8369
@operato/input,9.0.35,MSC-2025-8422
@operato/input,9.0.36,MSC-2025-8435
@operato/input,9.0.37,MSC-2025-8450
@operato/input,9.0.38,MSC-2025-8388
@operato/input,9.0.39,MSC-2025-8357
@operato/input,9.0.40,MSC-2025-8430
@operato/input,9.0.41,MSC-2025-8354
@operato/input,9.0.42,MSC-2025-8455
@operato/input,9.0.43,MSC-2025-8451
@operato/input,9.0.44,MSC-2025-8393
@operato/input,9.0.45,MSC-2025-8466
@operato/input,9.0.46,MSC-2025-8452
@operato/layout,9.0.35,MSC-2025-8471
@operato/layout,9.0.36,MSC-2025-8423
@operato/layout,9.0.37,MSC-2025-8427
@operato/popup,9.0.22,MSC-2025-8460
@operato/popup,9.0.35,MSC-2025-8490
@operato/popup,9.0.36,MSC-2025-8456
@operato/popup,9.0.37,MSC-2025-8401
@operato/popup,9.0.38,MSC-2025-8463
@operato/popup,9.0.39,MSC-2025-8392
@operato/popup,9.0.40,MSC-2025-8358
@operato/popup,9.0.41,MSC-2025-8457
@operato/popup,9.0.42,MSC-2025-8365
@operato/popup,9.0.43,MSC-2025-8400
@operato/popup,9.0.44,MSC-2025-8483
@operato/popup,9.0.45,MSC-2025-8420
@operato/popup,9.0.46,MSC-2025-8391
@operato/popup,9.0.47,MSC-2025-8361
@operato/popup,9.0.48,MSC-2025-8372
@operato/popup,9.0.49,MSC-2025-8408
@operato/popup,9.0.50,MSC-2025-8469
@operato/popup,9.0.51,MSC-2025-8485
@operato/pull-to-refresh,9.0.35,MSC-2025-8329
@operato/pull-to-refresh,9.0.36,MSC-2025-8311
@operato/pull-to-refresh,9.0.37,MSC-2025-8325
@operato/pull-to-refresh,9.0.38,MSC-2025-8312
@operato/pull-to-refresh,9.0.39,MSC-2025-8318
@operato/pull-to-refresh,9.0.40,MSC-2025-8317
@operato/pull-to-refresh,9.0.41,MSC-2025-8310
@operato/pull-to-refresh,9.0.42,MSC-2025-8316
@operato/pull-to-refresh,9.0.43,MSC-2025-8331
@operato/pull-to-refresh,9.0.44,MSC-2025-8327
@operato/pull-to-refresh,9.0.45,MSC-2025-8324
@operato/pull-to-refresh,9.0.46,MSC-2025-8330
@operato/pull-to-refresh,9.0.47,MSC-2025-8326
@operato/shell,9.0.22,MSC-2025-8322
@operato/shell,9.0.35,MSC-2025-8323
@operato/shell,9.0.36,MSC-2025-8319
@operato/shell,9.0.37,MSC-2025-8321
@operato/shell,9.0.38,MSC-2025-8313
@operato/shell,9.0.39,MSC-2025-8320
@operato/styles,9.0.2,MSC-2025-8328
@operato/styles,9.0.35,MSC-2025-8315
@operato/styles,9.0.36,MSC-2025-8332
@operato/styles,9.0.37,MSC-2025-8314
@operato/utils,9.0.22,MSC-2025-8273
@operato/utils,9.0.35,MSC-2025-8278
@operato/utils,9.0.36,MSC-2025-8287
@operato/utils,9.0.37,MSC-2025-8296
@operato/utils,9.0.38,MSC-2025-8307
@operato/utils,9.0.39,MSC-2025-8300
@operato/utils,9.0.40,MSC-2025-8295
@operato/utils,9.0.41,MSC-2025-8298
@operato/utils,9.0.42,MSC-2025-8292
@operato/utils,9.0.43,MSC-2025-8269
@operato/utils,9.0.44,MSC-2025-8290
@operato/utils,9.0.45,MSC-2025-8291
@operato/utils,9.0.46,MSC-2025-8306
@operato/utils,9.0.47,MSC-2025-8299
@operato/utils,9.0.48,MSC-2025-8266
@operato/utils,9.0.49,MSC-2025-8304
@operato/utils,9.0.50,MSC-2025-8297
@operato/utils,9.0.51,MSC-2025-8305
@teselagen/bounce-loader,0.3.16,MSC-2025-8281
@teselagen/bounce-loader,0.3.17,MSC-2025-8265
@teselagen/liquibase-tools,0.4.1,MSC-2025-8267
@teselagen/range-utils,0.3.14,MSC-2025-8268
@teselagen/range-utils,0.3.15,MSC-2025-8286
@teselagen/react-list,0.8.19,MSC-2025-8277
@teselagen/react-list,0.8.20,MSC-2025-8279
@teselagen/react-table,6.10.19,MSC-2025-8231
@teselagen/react-table,6.10.20,MSC-2025-8243
@teselagen/react-table,6.10.21,MSC-2025-8240
@teselagen/react-table,6.10.22,MSC-2025-8253
@thangved/callback-window,1.1.4,MSC-2025-8258
@things-factory/attachment-base,9.0.43,MSC-2025-8236
@things-factory/attachment-base,9.0.44,MSC-2025-8244
@things-factory/attachment-base,9.0.45,MSC-2025-8260
@things-factory/attachment-base,9.0.46,MSC-2025-8232
@things-factory/attachment-base,9.0.47,MSC-2025-8256
@things-factory/attachment-base,9.0.48,MSC-2025-8225
@things-factory/attachment-base,9.0.49,MSC-2025-8261
@things-factory/attachment-base,9.0.50,MSC-2025-8247
@things-factory/attachment-base,9.0.51,MSC-2025-8226
@things-factory/attachment-base,9.0.52,MSC-2025-8255
@things-factory/attachment-base,9.0.53,MSC-2025-8251
@things-factory/attachment-base,9.0.54,MSC-2025-8263
@things-factory/attachment-base,9.0.55,MSC-2025-8239
@things-factory/auth-base,9.0.43,MSC-2025-8230
@things-factory/auth-base,9.0.44,MSC-2025-8235
@things-factory/auth-base,9.0.45,MSC-2025-8237
@things-factory/email-base,9.0.42,MSC-2025-8227
@things-factory/email-base,9.0.43,MSC-2025-8249
@things-factory/email-base,9.0.44,MSC-2025-8254
@things-factory/email-base,9.0.45,MSC-2025-8245
@things-factory/email-base,9.0.46,MSC-2025-8250
@things-factory/email-base,9.0.47,MSC-2025-8252
@things-factory/email-base,9.0.48,MSC-2025-8242
@things-factory/email-base,9.0.49,MSC-2025-8238
@things-factory/email-base,9.0.50,MSC-2025-8228
@things-factory/email-base,9.0.51,MSC-2025-8241
@things-factory/email-base,9.0.52,MSC-2025-8229
@things-factory/email-base,9.0.53,MSC-2025-8234
@things-factory/email-base,9.0.54,MSC-2025-8259
@things-factory/email-base,9.0.55,MSC-2025-8248
@things-factory/email-base,9.0.56,MSC-2025-8233
@things-factory/email-base,9.0.57,MSC-2025-8246
@things-factory/email-base,9.0.58,MSC-2025-8262
@things-factory/email-base,9.0.59,MSC-2025-8257
@things-factory/env,9.0.42,MSC-2025-8208
@things-factory/env,9.0.43,MSC-2025-8192
@things-factory/env,9.0.44,MSC-2025-8193
@things-factory/env,9.0.45,MSC-2025-8219
@things-factory/integration-base,9.0.43,MSC-2025-8202
@things-factory/integration-base,9.0.44,MSC-2025-8222
@things-factory/integration-base,9.0.45,MSC-2025-8187
@things-factory/integration-marketplace,9.0.43,MSC-2025-8186
@things-factory/integration-marketplace,9.0.44,MSC-2025-8216
@things-factory/integration-marketplace,9.0.45,MSC-2025-8218
@things-factory/shell,9.0.43,MSC-2025-8197
@things-factory/shell,9.0.44,MSC-2025-8203
@things-factory/shell,9.0.45,MSC-2025-8182
@tnf-dev/api,1.0.8,MSC-2025-8189
@tnf-dev/core,1.0.8,MSC-2025-8199
@tnf-dev/js,1.0.8,MSC-2025-8181
@tnf-dev/mui,1.0.8,MSC-2025-8183
@tnf-dev/react,1.0.8,MSC-2025-8214
@ui-ux-gang/devextreme-angular-rpk,24.1.7,MSC-2025-8205
@yoobic/design-system,6.5.17,MSC-2025-8221
@yoobic/jpeg-camera-es6,1.0.13,MSC-2025-8220
@yoobic/yobi,8.7.53,MSC-2025-8211
airchief,0.3.1,MSC-2025-8201
airpilot,0.8.8,MSC-2025-8217
angulartics2,14.1.1,MSC-2025-7964
angulartics2,14.1.2,MSC-2025-7959
browser-webdriver-downloader,3.0.8,MSC-2025-8194
capacitor-notificationhandler,0.0.2,MSC-2025-8223
capacitor-notificationhandler,0.0.3,MSC-2025-8184
capacitor-plugin-healthapp,0.0.2,MSC-2025-8188
capacitor-plugin-healthapp,0.0.3,MSC-2025-8200
capacitor-plugin-ihealth,1.1.8,MSC-2025-8190
