package name,package version(s),MSC ID's
@things-factory/auth-base,9.0.42,MSC-2025-8547
@things-factory/integration-base,9.0.42,MSC-2025-8549
@things-factory/shell,9.0.42,MSC-2025-8552
@nativescript-community/sentry,4.6.43,MSC-2025-8025
@nativescript-community/ui-material-core-tabs,7.2.76,MSC-2025-8032
json-rules-engine-simplified,0.2.4,MSC-2025-8020
react-complaint-image,0.0.35,MSC-2025-8007
react-jsonschema-form-conditionals,0.3.21,MSC-2025-8000
react-jsonschema-form-extras,1.0.4,MSC-2025-7996
@nativescript-community/ui-material-core,7.2.76,MSC-2025-8043
json-rules-engine-simplified,0.2.3,MSC-2025-8019
json-rules-engine-simplified,0.2.2,MSC-2025-8008
json-rules-engine-simplified,0.2.0,MSC-2025-8014
ngx-bootstrap,20.0.6,MSC-2025-8110
react-complaint-image,0.0.33,MSC-2025-8010
react-complaint-image,0.0.34,MSC-2025-8012
react-jsonschema-form-conditionals,0.3.20,MSC-2025-8013
react-jsonschema-form-conditionals,0.3.19,MSC-2025-8009
react-jsonschema-form-extras,1.0.3,MSC-2025-7998
react-jsonschema-form-extras,1.0.2,MSC-2025-8016
react-jsonschema-form-extras,1.0.1,MSC-2025-8004
@basic-ui-components-stc/basic-ui-components,1.0.5,MSC-2025-8555
devextreme-rpk,21.2.8,MSC-2025-8557
@nativescript-community/perms,3.0.9,MSC-2025-8558
@things-factory/integration-marketplace,9.0.42,MSC-2025-8556
@ui-ux-gang/devextreme-rpk,24.1.7,MSC-2025-8559
@nstudio/xplat-utils,20.0.4,MSC-2025-8560
ng-imports-checker,0.0.9,MSC-2025-8563
ng-imports-checker,0.0.10,MSC-2025-8561
@nstudio/xplat,20.0.4,MSC-2025-8564
ace-colorpicker-rpk,0.0.14,MSC-2025-8562
@art-ws/common,2.0.28,MSC-2025-8565
@art-ws/di,2.0.32,MSC-2025-8566
@art-ws/slf,2.0.22,MSC-2025-8567
@crowdstrike/falcon-shoelace,0.4.2,MSC-2025-8568
